,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
2,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
3,,KUSHAGRAM,"$30,000 - $90,000 a year","Must have clean driving record and pass background check.Follow all rules of the road while driving and doing deliveries.Job Types: Full-time, Part-time."
4,"Grocery, Food Service, and Kitchen Associate - Long Beach, C...",Amazon Retail LLC,$15.35 an hour,"During store operating hours, you deliver excellent customer service when answering customer questions.Obtain local food handling certification, if required."
5,Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required."
6,Information Security Intern (Summer 2021),"Alteryx, Inc.",$31.73 - $34.86 an hour,Risk and Compliance Security Engineer in the implementation of Alteryx’s GRC tool.Showcase impact by presenting intern projects at company/department-wide…
7,Care Review Processor Utilization Management,Molina Healthcare,,"Provides telephone, clerical and data entry support for the Care Review team.HCS staff work to ensure that patients progress toward desired outcomes with…"
8,Aerie - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you're able to proactively resolve guest concerns while sticking to company policy.
9,Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
10,Bike and Swan Boat Rental Staff,Wheel Fun Rentals,$14 an hour,\*Be mechanically inclined and comfortable with various types of specialty bike tools as well as other types of power and hand tools (bike/boat mechanic…
11,Pet Camp Counselor-Must Love Cats and Dogs!,Joyful Paws Pet Hotel & Daycare,$13 - $14 an hour,"Demonstrate genuine, enthusiastic and cheerful service as you interact with our pet parents and guests.Maintaining a safe play area for large groups of dogs."
12,Warehouse Selector ($21.55 hourly 6:30 PM Start) Santa Fe Sp...,UNFI,$21.55 an hour,"Shrink wraps and labels with correct truck, stop and other required information.Picks the correct item and quantity, checking UPC’s or item descriptions."
13,Warehouse Selector ($20.75 Hourly,UNFI,$20.75 an hour,"Shrink wraps and labels with correct truck, stop and other required information.Picks the correct item and quantity, checking UPC’s or item descriptions."
14,Receptionist,Molina Healthcare,,"Work may involve design and development of program components, coordination of work effort across third party vendors or internal staff to execute against…"
15,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
16,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
17,,KUSHAGRAM,"$30,000 - $90,000 a year","Must have clean driving record and pass background check.Follow all rules of the road while driving and doing deliveries.Job Types: Full-time, Part-time."
18,Care Review Processor Utilization Management,Molina Healthcare,,"Provides telephone, clerical and data entry support for the Care Review team.HCS staff work to ensure that patients progress toward desired outcomes with…"
19,"Grocery, Food Service, and Kitchen Associate - Long Beach, C...",Amazon Retail LLC,$15.35 an hour,"During store operating hours, you deliver excellent customer service when answering customer questions.Obtain local food handling certification, if required."
20,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
21,Aerie - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you're able to proactively resolve guest concerns while sticking to company policy.
22,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
