,title,company,salary,summary
0,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1,Ebike Technician,Powerbikes.com,$15 - $20 an hour,Valid driver’s license with good driving record.Interacting with service customers to write service orders and gather information to diagnose mechanical or…
2,Certified Veterinary Technician,Gehrman Animal Hospital,$18 - $24 an hour,Certified Veterinary Technician license (Preferred).A certified technician or eligible to take the VTNE.Pet care discounts for your own pets.
3,"Lifeguard, Part-Time",Minneapolis Park and Recreation Board,$13.50 - $15.75 an hour,"Perform general maintenance and janitorial duties to ensure an orderly, friendly, clean and safe environment for guests, co-workers and the general public."
4,Certified Veterinary Technician,Bass Lake Pet Hospital,$20 - $24 an hour,"We offer Competitive wages and have an excellent benefit program.PTO, Paid Holidays, Bonus plan, Health and Dental Plan, Simple IRA, CE, Scrubs."
5,Inside Technical Sales,Industrial Equipment & Parts,"$45,000 - $55,000 a year","Computer skills (typing, data entry, MS Word, MS Excel) and ability to learn specialty software.Experience with technical drawings and calculations is a plus."
6,Landscape Design Assistant (3+ years landscape experience),Exterior Design Studio,$20 an hour,"Have good plant knowledge.Must be on time, professional, reliable, and some landscape experience needed.Communicate with very high end clientele."
7,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
8,"Customer Service Work From Home, FULL-TIME - $14/hr",Sun Country Airlines,$14 an hour,"Provide timely and courteous responses to incoming phone calls.Demonstrated knowledge and aptitude to use computers and related technology skillfully,…"
9,"Records Clerk II, Hennepin County, Centralized Records Cente...",Minnesota Judicial Branch,"$31,529 - $52,993 a year",This position assists court customers at the public service counter and answers routine phone calls regarding the records request procedure and status updates…
10,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
11,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
12,Site Lead - Covid-19 Testing Center,USA Mobile Drug Testing,From $20 an hour,"Our team works with the general public, registering accounts on their cell phones and watching them self collect a saliva sample for a laboratory."
13,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
14,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
15,Dispositional Advisor,State of Minnesota Board of Public Defense,"$49,720 - $82,577 a year","Maintains professional collaborations with mental health practitioners, treatment providers, state/county corrections and social service agencies; 3."
16,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
17,,Companion Housing Programs Inc.,$15 - $16 an hour,"Carry out duties and responsibilities in accordance with the organizations policies and procedures, applicable to federal, state and local standards as directed…"
18,Landscaping Division Manager,Clearscape Outdoor Services,"$60,000 - $75,000 a year",Valid Minnesota driver's license with a clean driving record (required).The Landscape Division Manager will lead and manage installation projects in the areas…
19,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
20,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
21,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
22,Front Desk Receptionist,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
23,"Customer Service Work From Home, FULL-TIME - $14/hr",Sun Country Airlines,$14 an hour,"Provide timely and courteous responses to incoming phone calls.Demonstrated knowledge and aptitude to use computers and related technology skillfully,…"
24,"Records Clerk II, Hennepin County, Centralized Records Cente...",Minnesota Judicial Branch,"$31,529 - $52,993 a year",This position assists court customers at the public service counter and answers routine phone calls regarding the records request procedure and status updates…
25,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
26,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
27,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
28,Site Lead - Covid-19 Testing Center,USA Mobile Drug Testing,From $20 an hour,"Our team works with the general public, registering accounts on their cell phones and watching them self collect a saliva sample for a laboratory."
29,Food Production/Packaging,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
30,Living Kidney Donor Courier,"NORA, Nationwide Organ Recovery Transport Alliance",$25 an hour,Professional appearance (nice pants/top or scrubs are okay).Ability to lift up to 20 pounds.Clear background and drug screen.
31,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
32,Dispositional Advisor,State of Minnesota Board of Public Defense,"$49,720 - $82,577 a year","Maintains professional collaborations with mental health practitioners, treatment providers, state/county corrections and social service agencies; 3."
33,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
34,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
35,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
36,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
37,Front Desk Receptionist,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
38,"Customer Service Work From Home, FULL-TIME - $14/hr",Sun Country Airlines,$14 an hour,"Provide timely and courteous responses to incoming phone calls.Demonstrated knowledge and aptitude to use computers and related technology skillfully,…"
39,"Records Clerk II, Hennepin County, Centralized Records Cente...",Minnesota Judicial Branch,"$31,529 - $52,993 a year",This position assists court customers at the public service counter and answers routine phone calls regarding the records request procedure and status updates…
40,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
41,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
42,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
43,Site Lead - Covid-19 Testing Center,USA Mobile Drug Testing,From $20 an hour,"Our team works with the general public, registering accounts on their cell phones and watching them self collect a saliva sample for a laboratory."
44,Food Production/Packaging,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
45,Living Kidney Donor Courier,"NORA, Nationwide Organ Recovery Transport Alliance",$25 an hour,Professional appearance (nice pants/top or scrubs are okay).Ability to lift up to 20 pounds.Clear background and drug screen.
46,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
47,Dispositional Advisor,State of Minnesota Board of Public Defense,"$49,720 - $82,577 a year","Maintains professional collaborations with mental health practitioners, treatment providers, state/county corrections and social service agencies; 3."
48,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
49,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
50,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
51,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
52,Culinary Food Prep,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
53,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
54,Living Kidney Donor Courier,"NORA, Nationwide Organ Recovery Transport Alliance",$25 an hour,Professional appearance (nice pants/top or scrubs are okay).Ability to lift up to 20 pounds.Clear background and drug screen.
55,Barista and Cashier,Mary Ellen's Bistro,$12 - $15 an hour,Competently and diligently completing barista training before working solo.Taking on the full responsibility for correct maintenance and cleaning of espresso…
56,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
57,Food Production/Packaging,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
58,Site Lead - Covid-19 Testing Center,USA Mobile Drug Testing,From $20 an hour,"Our team works with the general public, registering accounts on their cell phones and watching them self collect a saliva sample for a laboratory."
59,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
60,COVID-19 Testing Site Managers and Assistant Managers ($30-$...,GS Labs - Rapid COVID-19 Test Clinics,$30 - $40 an hour,"May be asked to answer the office phone and direct patient inquiries appropriately.Ensure procedures are followed so that patient notification, state…"
61,Dog Daycare Attendant,Pampered Pooch playground,$13 - $14 an hour,"As a dog handler, you are responsible for supervising play, cleaning up after the dogs, ensuring the safety of each and every dog, performing an array of…"
62,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
63,Forklift Operator - St Paul MN,WestRock,$22.73 an hour,"Duties may include hauling using powered industrial vehicles, loading trailers or railroad cars, operating a front-end loader, maintaining department…"
64,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
65,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
66,Culinary Food Prep,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
67,Living Kidney Donor Courier,"NORA, Nationwide Organ Recovery Transport Alliance",$25 an hour,Professional appearance (nice pants/top or scrubs are okay).Ability to lift up to 20 pounds.Clear background and drug screen.
68,Food Production/Packaging,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
69,Barista and Cashier,Mary Ellen's Bistro,$12 - $15 an hour,Competently and diligently completing barista training before working solo.Taking on the full responsibility for correct maintenance and cleaning of espresso…
70,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
71,Dog Daycare Attendant,Pampered Pooch playground,$13 - $14 an hour,"As a dog handler, you are responsible for supervising play, cleaning up after the dogs, ensuring the safety of each and every dog, performing an array of…"
72,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
73,COVID-19 Testing Site Managers and Assistant Managers ($30-$...,GS Labs - Rapid COVID-19 Test Clinics,$30 - $40 an hour,"May be asked to answer the office phone and direct patient inquiries appropriately.Ensure procedures are followed so that patient notification, state…"
74,Restaurant Staff,Hemisphere Restaurants,$10.08 - $30.00 an hour,"Passion for uncompromising guest experience.With 6 locations and counting, The Tavern Grill is a rapidly expanding, upscale casual full-service bar and…"
75,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
76,Forklift Operator - St Paul MN,WestRock,$22.73 an hour,"Duties may include hauling using powered industrial vehicles, loading trailers or railroad cars, operating a front-end loader, maintaining department…"
77,Front Desk Receptionist,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
78,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
79,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
80,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
81,Culinary Food Prep,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
82,Living Kidney Donor Courier,"NORA, Nationwide Organ Recovery Transport Alliance",$25 an hour,Professional appearance (nice pants/top or scrubs are okay).Ability to lift up to 20 pounds.Clear background and drug screen.
83,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
84,Food Production/Packaging,"Taher, Inc.",$18 an hour,"They asre responsible for achieving operational and quality goals, while ensuring safety standards are achieved.Sick Time, Paid Vacation and 401K Benefits."
85,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.High school, GED, or equivalent diploma."
86,Barista and Cashier,Mary Ellen's Bistro,$12 - $15 an hour,Competently and diligently completing barista training before working solo.Taking on the full responsibility for correct maintenance and cleaning of espresso…
87,Dog Daycare Attendant,Pampered Pooch playground,$13 - $14 an hour,"As a dog handler, you are responsible for supervising play, cleaning up after the dogs, ensuring the safety of each and every dog, performing an array of…"
88,COVID-19 Testing Site Managers and Assistant Managers ($30-$...,GS Labs - Rapid COVID-19 Test Clinics,$30 - $40 an hour,"May be asked to answer the office phone and direct patient inquiries appropriately.Ensure procedures are followed so that patient notification, state…"
89,Restaurant Staff,Hemisphere Restaurants,$10.08 - $30.00 an hour,"Passion for uncompromising guest experience.With 6 locations and counting, The Tavern Grill is a rapidly expanding, upscale casual full-service bar and…"
90,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
91,Site Lead - Covid-19 Testing Center,USA Mobile Drug Testing,From $20 an hour,"Our team works with the general public, registering accounts on their cell phones and watching them self collect a saliva sample for a laboratory."
92,"Server, Bartender, Busser, Runner, Guest Services - Brooklyn...",Topgolf,,"If extended the invitation, we’ll be ready to welcome you to an interview with guidelines around social distancing and interview protocols to help keep you safe…"
93,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
94,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
95,Social Media Manager,Jumpfix Media,From $20 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Open to applicants under 18 years old, provided it is legally allowed for the…"
96,,"Cornerstone Parking Group, Inc.",$17.50 an hour,"The screening ambassador is responsible for welcoming and screening all patients, visitors, and vendors prior to entry into the hospital, distributing masks,…"
97,Front Desk Receptionist,Milan Laser Hair Removal,$15 an hour,Field incoming calls to schedule appointments and answer general questions.Assist Sales Manager in outgoing calls to clients for consultation follow-up and…
98,Tutor in Minneapolis – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,Minneapolis families are in immediate need of part-time tutors for all subjects and grade levels.
99,"Customer Service Work From Home, FULL-TIME - $14/hr",Sun Country Airlines,$14 an hour,"Provide timely and courteous responses to incoming phone calls.Demonstrated knowledge and aptitude to use computers and related technology skillfully,…"
100,"Records Clerk II, Hennepin County, Centralized Records Cente...",Minnesota Judicial Branch,"$31,529 - $52,993 a year",This position assists court customers at the public service counter and answers routine phone calls regarding the records request procedure and status updates…
